category,subcategories
"root","Automotive & Motors,Automotive & Motors,Books,Books,Camera & Photography,Camera & Photography,Electronics,Electronics,Fashion,Fashion,Health & Beauty,Health & Beauty,Home & Garden,Home & Garden,Jewelry & Watches,Jewelry & Watches,Movies, Music & Games,Movies, Music & Games,Real Estate,Real Estate,Restaurants,Restaurants,Services,Services,Sports & Outdors,Sports & Outdors,Toy,Kids & Babies,Toy,Kids & Babies,住屋&庭院,健康&美麗,房地產,時尚,書籍,服務,汽機車,玩具,兒童&嬰兒,珠寶&手錶,相機&攝影,運動&戶外活動,電子產品,電影,音樂&遊戲,餐廳"
"汽機車","汽車工具,汽車零件,汽車電子,輪胎"
"汽車零件",""
"汽車工具",""
"汽車電子",""
"輪胎",""
"Automotive & Motors","Automotive Parts,Automotive Tools,Car Electronics,Tires "
"Automotive Parts",""
"Automotive Tools",""
"Car Electronics",""
"Tires ",""
"Automotive & Motors","Automotive Parts,Automotive Tools,Car Electronics,Tires "
"Automotive Parts",""
"Automotive Tools",""
"Car Electronics",""
"Tires ",""
"書籍","書籍,童書,課本"
"書籍",""
"童書",""
"課本",""
"Books","Books,Children's Books,Textbooks"
"Books",""
"Children's Books",""
"Textbooks",""
"Books","Books,Children's Books,Textbooks"
"Books",""
"Children's Books",""
"Textbooks",""
"相機&攝影","攝影,相機"
"相機",""
"攝影",""
"Camera & Photography","Camera,Photography"
"Camera",""
"Photography",""
"Camera & Photography","Camera,Photography"
"Camera",""
"Photography",""
"電子產品","家庭,音響&電影院,手機&飾品,軟體,電子配件,電玩,電腦零件,電視"
"手機&飾品",""
"電腦零件",""
"電子配件",""
"家庭,音響&電影院",""
"軟體",""
"電視",""
"電玩",""
"Electronics","Cell Phones & Accessories,Computer Parts & Components,Electronics Accessories,Home, Audio & Theater,Software,TV ,Video Games"
"Cell Phones & Accessories",""
"Computer Parts & Components",""
"Electronics Accessories",""
"Home, Audio & Theater",""
"Software",""
"TV ",""
"Video Games",""
"Electronics","Cell Phones & Accessories,Computer Parts & Components,Electronics Accessories,Home, Audio & Theater,Software,TV ,Video Games"
"Cell Phones & Accessories",""
"Computer Parts & Components",""
"Electronics Accessories",""
"Home, Audio & Theater",""
"Software",""
"TV ",""
"Video Games",""
"時尚","兒童&嬰兒,女性,男性,鞋"
"兒童&嬰兒",""
"男性",""
"鞋",""
"女性",""
"Fashion","Kids & Baby,Man,Shoes,Women"
"Kids & Baby",""
"Man",""
"Shoes",""
"Women",""
"Fashion","Kids & Baby,Man,Shoes,Women"
"Kids & Baby",""
"Man",""
"Shoes",""
"Women",""
"健康&美麗","健康&個人護理,天然&有機,酒,雜貨&美食"
"雜貨&美食",""
"健康&個人護理",""
"天然&有機",""
"酒",""
"Health & Beauty","Grocery & Gourmet Food,Health & Personal Care,Natural & Organic,Wine"
"Grocery & Gourmet Food",""
"Health & Personal Care",""
"Natural & Organic",""
"Wine",""
"Health & Beauty","Grocery & Gourmet Food,Health & Personal Care,Natural & Organic,Wine"
"Grocery & Gourmet Food",""
"Health & Personal Care",""
"Natural & Organic",""
"Wine",""
